fips,stateabbr,statedesc,locationname,measure,data_value_type,asthma_prevalence_pct
02220,AK,Alaska,Sitka,Current asthma among adults,Age-adjusted prevalence,10.1
05109,AR,Arkansas,Pike,Current asthma among adults,Age-adjusted prevalence,10.3
01075,AL,Alabama,Lamar,Current asthma among adults,Age-adjusted prevalence,10.5
06025,CA,California,Imperial,Current asthma among adults,Age-adjusted prevalence,9.2
01007,AL,Alabama,Bibb,Current asthma among adults,Age-adjusted prevalence,10.4
01021,AL,Alabama,Chilton,Current asthma among adults,Age-adjusted prevalence,10.0
05123,AR,Arkansas,St. Francis,Current asthma among adults,Age-adjusted prevalence,11.0
05009,AR,Arkansas,Boone,Current asthma among adults,Age-adjusted prevalence,10.4
02164,AK,Alaska,Lake and Peninsula,Current asthma among adults,Age-adjusted prevalence,12.5
06007,CA,California,Butte,Current asthma among adults,Age-adjusted prevalence,10.5
01037,AL,Alabama,Coosa,Current asthma among adults,Age-adjusted prevalence,10.5
01123,AL,Alabama,Tallapoosa,Current asthma among adults,Age-adjusted prevalence,10.5
05127,AR,Arkansas,Scott,Current asthma among adults,Age-adjusted prevalence,10.4
05075,AR,Arkansas,Lawrence,Current asthma among adults,Age-adjusted prevalence,10.8
05023,AR,Arkansas,Cleburne,Current asthma among adults,Age-adjusted prevalence,10.4
04021,AZ,Arizona,Pinal,Current asthma among adults,Age-adjusted prevalence,10.9
06035,CA,California,Lassen,Current asthma among adults,Age-adjusted prevalence,10.3
05027,AR,Arkansas,Columbia,Current asthma among adults,Age-adjusted prevalence,11.1
01091,AL,Alabama,Marengo,Current asthma among adults,Age-adjusted prevalence,11.1
05133,AR,Arkansas,Sevier,Current asthma among adults,Age-adjusted prevalence,10.2
06043,CA,California,Mariposa,Current asthma among adults,Age-adjusted prevalence,10.6
05065,AR,Arkansas,Izard,Current asthma among adults,Age-adjusted prevalence,10.5
01023,AL,Alabama,Choctaw,Current asthma among adults,Age-adjusted prevalence,11.1
01039,AL,Alabama,Covington,Current asthma among adults,Age-adjusted prevalence,10.4
06051,CA,California,Mono,Current asthma among adults,Age-adjusted prevalence,9.9
01053,AL,Alabama,Escambia,Current asthma among adults,Age-adjusted prevalence,11.0
02016,AK,Alaska,Aleutians West,Current asthma among adults,Age-adjusted prevalence,7.8
05017,AR,Arkansas,Chicot,Current asthma among adults,Age-adjusted prevalence,11.1
05129,AR,Arkansas,Searcy,Current asthma among adults,Age-adjusted prevalence,10.9
06065,CA,California,Riverside,Current asthma among adults,Age-adjusted prevalence,9.5
05061,AR,Arkansas,Howard,Current asthma among adults,Age-adjusted prevalence,10.7
02100,AK,Alaska,Haines,Current asthma among adults,Age-adjusted prevalence,10.3
05069,AR,Arkansas,Jefferson,Current asthma among adults,Age-adjusted prevalence,11.3
01001,AL,Alabama,Autauga,Current asthma among adults,Age-adjusted prevalence,10.0
01043,AL,Alabama,Cullman,Current asthma among adults,Age-adjusted prevalence,9.9
01105,AL,Alabama,Perry,Current asthma among adults,Age-adjusted prevalence,12.2
05063,AR,Arkansas,Independence,Current asthma among adults,Age-adjusted prevalence,10.5
01103,AL,Alabama,Morgan,Current asthma among adults,Age-adjusted prevalence,9.9
01033,AL,Alabama,Colbert,Current asthma among adults,Age-adjusted prevalence,10.4
05057,AR,Arkansas,Hempstead,Current asthma among adults,Age-adjusted prevalence,10.8
01071,AL,Alabama,Jackson,Current asthma among adults,Age-adjusted prevalence,10.4
01117,AL,Alabama,Shelby,Current asthma among adults,Age-adjusted prevalence,9.4
01085,AL,Alabama,Lowndes,Current asthma among adults,Age-adjusted prevalence,11.8
01005,AL,Alabama,Barbour,Current asthma among adults,Age-adjusted prevalence,10.9
06061,CA,California,Placer,Current asthma among adults,Age-adjusted prevalence,10.0
05113,AR,Arkansas,Polk,Current asthma among adults,Age-adjusted prevalence,10.6
02060,AK,Alaska,Bristol Bay,Current asthma among adults,Age-adjusted prevalence,11.1
02275,AK,Alaska,Wrangell,Current asthma among adults,Age-adjusted prevalence,11.0
05091,AR,Arkansas,Miller,Current asthma among adults,Age-adjusted prevalence,11.1
05143,AR,Arkansas,Washington,Current asthma among adults,Age-adjusted prevalence,10.2
02195,AK,Alaska,Petersburg,Current asthma among adults,Age-adjusted prevalence,10.0
04009,AZ,Arizona,Graham,Current asthma among adults,Age-adjusted prevalence,11.2
05013,AR,Arkansas,Calhoun,Current asthma among adults,Age-adjusted prevalence,10.4
05071,AR,Arkansas,Johnson,Current asthma among adults,Age-adjusted prevalence,10.4
05131,AR,Arkansas,Sebastian,Current asthma among adults,Age-adjusted prevalence,10.3
06003,CA,California,Alpine,Current asthma among adults,Age-adjusted prevalence,10.5
02240,AK,Alaska,Southeast Fairbanks,Current asthma among adults,Age-adjusted prevalence,10.1
01121,AL,Alabama,Talladega,Current asthma among adults,Age-adjusted prevalence,10.7
06029,CA,California,Kern,Current asthma among adults,Age-adjusted prevalence,10.3
05083,AR,Arkansas,Logan,Current asthma among adults,Age-adjusted prevalence,10.6
01051,AL,Alabama,Elmore,Current asthma among adults,Age-adjusted prevalence,10.0
06033,CA,California,Lake,Current asthma among adults,Age-adjusted prevalence,10.9
06049,CA,California,Modoc,Current asthma among adults,Age-adjusted prevalence,11.1
01067,AL,Alabama,Henry,Current asthma among adults,Age-adjusted prevalence,10.5
05149,AR,Arkansas,Yell,Current asthma among adults,Age-adjusted prevalence,10.1
06069,CA,California,San Benito,Current asthma among adults,Age-adjusted prevalence,9.1
01111,AL,Alabama,Randolph,Current asthma among adults,Age-adjusted prevalence,10.4
01011,AL,Alabama,Bullock,Current asthma among adults,Age-adjusted prevalence,11.5
05015,AR,Arkansas,Carroll,Current asthma among adults,Age-adjusted prevalence,9.9
05125,AR,Arkansas,Saline,Current asthma among adults,Age-adjusted prevalence,10.1
04001,AZ,Arizona,Apache,Current asthma among adults,Age-adjusted prevalence,14.4
05121,AR,Arkansas,Randolph,Current asthma among adults,Age-adjusted prevalence,10.8
01065,AL,Alabama,Hale,Current asthma among adults,Age-adjusted prevalence,11.5
06047,CA,California,Merced,Current asthma among adults,Age-adjusted prevalence,9.8
02110,AK,Alaska,Juneau,Current asthma among adults,Age-adjusted prevalence,10.2
06009,CA,California,Calaveras,Current asthma among adults,Age-adjusted prevalence,10.5
05053,AR,Arkansas,Grant,Current asthma among adults,Age-adjusted prevalence,10.0
01125,AL,Alabama,Tuscaloosa,Current asthma among adults,Age-adjusted prevalence,10.2
05087,AR,Arkansas,Madison,Current asthma among adults,Age-adjusted prevalence,10.5
05035,AR,Arkansas,Crittenden,Current asthma among adults,Age-adjusted prevalence,11.6
01073,AL,Alabama,Jefferson,Current asthma among adults,Age-adjusted prevalence,9.9
05019,AR,Arkansas,Clark,Current asthma among adults,Age-adjusted prevalence,10.9
06055,CA,California,Napa,Current asthma among adults,Age-adjusted prevalence,9.5
01133,AL,Alabama,Winston,Current asthma among adults,Age-adjusted prevalence,10.4
05135,AR,Arkansas,Sharp,Current asthma among adults,Age-adjusted prevalence,10.8
01107,AL,Alabama,Pickens,Current asthma among adults,Age-adjusted prevalence,10.7
01115,AL,Alabama,St. Clair,Current asthma among adults,Age-adjusted prevalence,10.0
05147,AR,Arkansas,Woodruff,Current asthma among adults,Age-adjusted prevalence,11.2
02230,AK,Alaska,Skagway,Current asthma among adults,Age-adjusted prevalence,10.1
06053,CA,California,Monterey,Current asthma among adults,Age-adjusted prevalence,9.6
01129,AL,Alabama,Washington,Current asthma among adults,Age-adjusted prevalence,10.7
02130,AK,Alaska,Ketchikan Gateway,Current asthma among adults,Age-adjusted prevalence,10.4
06039,CA,California,Madera,Current asthma among adults,Age-adjusted prevalence,10.4
02198,AK,Alaska,Prince of Wales-Hyder,Current asthma among adults,Age-adjusted prevalence,12.1
04005,AZ,Arizona,Coconino,Current asthma among adults,Age-adjusted prevalence,11.7
01003,AL,Alabama,Baldwin,Current asthma among adults,Age-adjusted prevalence,9.4
05001,AR,Arkansas,Arkansas,Current asthma among adults,Age-adjusted prevalence,10.8
00059,US,United States,,Current asthma among adults,Age-adjusted prevalence,9.8
01069,AL,Alabama,Houston,Current asthma among adults,Age-adjusted prevalence,10.5
05117,AR,Arkansas,Prairie,Current asthma among adults,Age-adjusted prevalence,10.6
05073,AR,Arkansas,Lafayette,Current asthma among adults,Age-adjusted prevalence,11.6
06057,CA,California,Nevada,Current asthma among adults,Age-adjusted prevalence,10.4
05105,AR,Arkansas,Perry,Current asthma among adults,Age-adjusted prevalence,10.3
05005,AR,Arkansas,Baxter,Current asthma among adults,Age-adjusted prevalence,10.5
02188,AK,Alaska,Northwest Arctic,Current asthma among adults,Age-adjusted prevalence,13.2
05139,AR,Arkansas,Union,Current asthma among adults,Age-adjusted prevalence,11.0
05079,AR,Arkansas,Lincoln,Current asthma among adults,Age-adjusted prevalence,9.8
04012,AZ,Arizona,La Paz,Current asthma among adults,Age-adjusted prevalence,11.4
01059,AL,Alabama,Franklin,Current asthma among adults,Age-adjusted prevalence,10.0
01055,AL,Alabama,Etowah,Current asthma among adults,Age-adjusted prevalence,10.3
05095,AR,Arkansas,Monroe,Current asthma among adults,Age-adjusted prevalence,11.6
05021,AR,Arkansas,Clay,Current asthma among adults,Age-adjusted prevalence,10.5
01013,AL,Alabama,Butler,Current asthma among adults,Age-adjusted prevalence,11.1
05067,AR,Arkansas,Jackson,Current asthma among adults,Age-adjusted prevalence,11.0
01017,AL,Alabama,Chambers,Current asthma among adults,Age-adjusted prevalence,10.9
02066,AK,Alaska,Copper River,Current asthma among adults,Age-adjusted prevalence,10.9
06059,CA,California,Orange,Current asthma among adults,Age-adjusted prevalence,9.0
02122,AK,Alaska,Kenai Peninsula,Current asthma among adults,Age-adjusted prevalence,10.4
01009,AL,Alabama,Blount,Current asthma among adults,Age-adjusted prevalence,9.9
01079,AL,Alabama,Lawrence,Current asthma among adults,Age-adjusted prevalence,10.6
05119,AR,Arkansas,Pulaski,Current asthma among adults,Age-adjusted prevalence,10.3
01093,AL,Alabama,Marion,Current asthma among adults,Age-adjusted prevalence,10.4
01109,AL,Alabama,Pike,Current asthma among adults,Age-adjusted prevalence,10.9
01113,AL,Alabama,Russell,Current asthma among adults,Age-adjusted prevalence,11.1
05037,AR,Arkansas,Cross,Current asthma among adults,Age-adjusted prevalence,11.0
05051,AR,Arkansas,Garland,Current asthma among adults,Age-adjusted prevalence,10.3
01063,AL,Alabama,Greene,Current asthma among adults,Age-adjusted prevalence,12.3
04003,AZ,Arizona,Cochise,Current asthma among adults,Age-adjusted prevalence,10.5
01045,AL,Alabama,Dale,Current asthma among adults,Age-adjusted prevalence,10.4
01061,AL,Alabama,Geneva,Current asthma among adults,Age-adjusted prevalence,10.5
06021,CA,California,Glenn,Current asthma among adults,Age-adjusted prevalence,10.1
02063,AK,Alaska,Chugach,Current asthma among adults,Age-adjusted prevalence,10.0
01047,AL,Alabama,Dallas,Current asthma among adults,Age-adjusted prevalence,11.8
05085,AR,Arkansas,Lonoke,Current asthma among adults,Age-adjusted prevalence,10.3
06011,CA,California,Colusa,Current asthma among adults,Age-adjusted prevalence,9.8
02185,AK,Alaska,North Slope,Current asthma among adults,Age-adjusted prevalence,10.4
01077,AL,Alabama,Lauderdale,Current asthma among adults,Age-adjusted prevalence,10.0
05031,AR,Arkansas,Craighead,Current asthma among adults,Age-adjusted prevalence,10.6
05099,AR,Arkansas,Nevada,Current asthma among adults,Age-adjusted prevalence,11.1
01031,AL,Alabama,Coffee,Current asthma among adults,Age-adjusted prevalence,10.2
05089,AR,Arkansas,Marion,Current asthma among adults,Age-adjusted prevalence,10.6
04013,AZ,Arizona,Maricopa,Current asthma among adults,Age-adjusted prevalence,10.1
01029,AL,Alabama,Cleburne,Current asthma among adults,Age-adjusted prevalence,10.1
04017,AZ,Arizona,Navajo,Current asthma among adults,Age-adjusted prevalence,13.8
06037,CA,California,Los Angeles,Current asthma among adults,Age-adjusted prevalence,9.0
06023,CA,California,Humboldt,Current asthma among adults,Age-adjusted prevalence,11.0
05047,AR,Arkansas,Franklin,Current asthma among adults,Age-adjusted prevalence,10.7
02050,AK,Alaska,Bethel,Current asthma among adults,Age-adjusted prevalence,13.4
05115,AR,Arkansas,Pope,Current asthma among adults,Age-adjusted prevalence,10.6
01015,AL,Alabama,Calhoun,Current asthma among adults,Age-adjusted prevalence,10.6
05003,AR,Arkansas,Ashley,Current asthma among adults,Age-adjusted prevalence,11.2
05137,AR,Arkansas,Stone,Current asthma among adults,Age-adjusted prevalence,10.8
06031,CA,California,Kings,Current asthma among adults,Age-adjusted prevalence,9.7
01099,AL,Alabama,Monroe,Current asthma among adults,Age-adjusted prevalence,11.3
05145,AR,Arkansas,White,Current asthma among adults,Age-adjusted prevalence,10.7
01119,AL,Alabama,Sumter,Current asthma among adults,Age-adjusted prevalence,11.7
01081,AL,Alabama,Lee,Current asthma among adults,Age-adjusted prevalence,10.0
05107,AR,Arkansas,Phillips,Current asthma among adults,Age-adjusted prevalence,12.4
06001,CA,California,Alameda,Current asthma among adults,Age-adjusted prevalence,8.8
02290,AK,Alaska,Yukon-Koyukuk,Current asthma among adults,Age-adjusted prevalence,12.7
01057,AL,Alabama,Fayette,Current asthma among adults,Age-adjusted prevalence,10.5
01127,AL,Alabama,Walker,Current asthma among adults,Age-adjusted prevalence,10.4
02180,AK,Alaska,Nome,Current asthma among adults,Age-adjusted prevalence,12.7
05041,AR,Arkansas,Desha,Current asthma among adults,Age-adjusted prevalence,11.9
06041,CA,California,Marin,Current asthma among adults,Age-adjusted prevalence,9.5
06017,CA,California,El Dorado,Current asthma among adults,Age-adjusted prevalence,9.9
05033,AR,Arkansas,Crawford,Current asthma among adults,Age-adjusted prevalence,10.3
04023,AZ,Arizona,Santa Cruz,Current asthma among adults,Age-adjusted prevalence,9.5
01025,AL,Alabama,Clarke,Current asthma among adults,Age-adjusted prevalence,11.0
02282,AK,Alaska,Yakutat,Current asthma among adults,Age-adjusted prevalence,11.2
02070,AK,Alaska,Dillingham,Current asthma among adults,Age-adjusted prevalence,12.6
05093,AR,Arkansas,Mississippi,Current asthma among adults,Age-adjusted prevalence,11.1
05055,AR,Arkansas,Greene,Current asthma among adults,Age-adjusted prevalence,10.5
02150,AK,Alaska,Kodiak Island,Current asthma among adults,Age-adjusted prevalence,9.3
06015,CA,California,Del Norte,Current asthma among adults,Age-adjusted prevalence,10.8
01095,AL,Alabama,Marshall,Current asthma among adults,Age-adjusted prevalence,9.8
04025,AZ,Arizona,Yavapai,Current asthma among adults,Age-adjusted prevalence,11.0
02105,AK,Alaska,Hoonah-Angoon,Current asthma among adults,Age-adjusted prevalence,11.6
05049,AR,Arkansas,Fulton,Current asthma among adults,Age-adjusted prevalence,10.8
02020,AK,Alaska,Anchorage,Current asthma among adults,Age-adjusted prevalence,10.6
02013,AK,Alaska,Aleutians East,Current asthma among adults,Age-adjusted prevalence,7.8
01101,AL,Alabama,Montgomery,Current asthma among adults,Age-adjusted prevalence,10.8
05011,AR,Arkansas,Bradley,Current asthma among adults,Age-adjusted prevalence,10.9
06071,CA,California,San Bernardino,Current asthma among adults,Age-adjusted prevalence,9.8
01049,AL,Alabama,DeKalb,Current asthma among adults,Age-adjusted prevalence,10.1
04027,AZ,Arizona,Yuma,Current asthma among adults,Age-adjusted prevalence,9.8
02068,AK,Alaska,Denali,Current asthma among adults,Age-adjusted prevalence,9.8
01087,AL,Alabama,Macon,Current asthma among adults,Age-adjusted prevalence,11.8
01035,AL,Alabama,Conecuh,Current asthma among adults,Age-adjusted prevalence,11.3
01089,AL,Alabama,Madison,Current asthma among adults,Age-adjusted prevalence,9.4
01019,AL,Alabama,Cherokee,Current asthma among adults,Age-adjusted prevalence,10.3
02170,AK,Alaska,Matanuska-Susitna,Current asthma among adults,Age-adjusted prevalence,10.7
04011,AZ,Arizona,Greenlee,Current asthma among adults,Age-adjusted prevalence,10.1
05097,AR,Arkansas,Montgomery,Current asthma among adults,Age-adjusted prevalence,10.6
05077,AR,Arkansas,Lee,Current asthma among adults,Age-adjusted prevalence,11.0
01027,AL,Alabama,Clay,Current asthma among adults,Age-adjusted prevalence,10.6
05111,AR,Arkansas,Poinsett,Current asthma among adults,Age-adjusted prevalence,10.9
05029,AR,Arkansas,Conway,Current asthma among adults,Age-adjusted prevalence,10.7
05043,AR,Arkansas,Drew,Current asthma among adults,Age-adjusted prevalence,11.1
05103,AR,Arkansas,Ouachita,Current asthma among adults,Age-adjusted prevalence,11.2
06067,CA,California,Sacramento,Current asthma among adults,Age-adjusted prevalence,10.2
06027,CA,California,Inyo,Current asthma among adults,Age-adjusted prevalence,10.4
01083,AL,Alabama,Limestone,Current asthma among adults,Age-adjusted prevalence,9.7
04019,AZ,Arizona,Pima,Current asthma among adults,Age-adjusted prevalence,11.0
06013,CA,California,Contra Costa,Current asthma among adults,Age-adjusted prevalence,9.4
06063,CA,California,Plumas,Current asthma among adults,Age-adjusted prevalence,11.0
01041,AL,Alabama,Crenshaw,Current asthma among adults,Age-adjusted prevalence,10.6
05081,AR,Arkansas,Little River,Current asthma among adults,Age-adjusted prevalence,10.8
06005,CA,California,Amador,Current asthma among adults,Age-adjusted prevalence,10.1
05007,AR,Arkansas,Benton,Current asthma among adults,Age-adjusted prevalence,9.2
06019,CA,California,Fresno,Current asthma among adults,Age-adjusted prevalence,9.8
05039,AR,Arkansas,Dallas,Current asthma among adults,Age-adjusted prevalence,10.9
05141,AR,Arkansas,Van Buren,Current asthma among adults,Age-adjusted prevalence,10.6
04007,AZ,Arizona,Gila,Current asthma among adults,Age-adjusted prevalence,11.6
05059,AR,Arkansas,Hot Spring,Current asthma among adults,Age-adjusted prevalence,10.4
04015,AZ,Arizona,Mohave,Current asthma among adults,Age-adjusted prevalence,11.2
06045,CA,California,Mendocino,Current asthma among adults,Age-adjusted prevalence,10.7
02090,AK,Alaska,Fairbanks North Star,Current asthma among adults,Age-adjusted prevalence,10.0
05045,AR,Arkansas,Faulkner,Current asthma among adults,Age-adjusted prevalence,10.1
05025,AR,Arkansas,Cleveland,Current asthma among adults,Age-adjusted prevalence,10.6
02158,AK,Alaska,Kusilvak,Current asthma among adults,Age-adjusted prevalence,14.6
05101,AR,Arkansas,Newton,Current asthma among adults,Age-adjusted prevalence,10.5
01097,AL,Alabama,Mobile,Current asthma among adults,Age-adjusted prevalence,9.8
01131,AL,Alabama,Wilcox,Current asthma among adults,Age-adjusted prevalence,12.1
12031,FL,Florida,Duval,Current asthma among adults,Age-adjusted prevalence,10.3
12013,FL,Florida,Calhoun,Current asthma among adults,Age-adjusted prevalence,10.6
13139,GA,Georgia,Hall,Current asthma among adults,Age-adjusted prevalence,9.5
13131,GA,Georgia,Grady,Current asthma among adults,Age-adjusted prevalence,10.8
13091,GA,Georgia,Dodge,Current asthma among adults,Age-adjusted prevalence,10.7
12111,FL,Florida,St. Lucie,Current asthma among adults,Age-adjusted prevalence,10.1
13037,GA,Georgia,Calhoun,Current asthma among adults,Age-adjusted prevalence,10.6
08085,CO,Colorado,Montrose,Current asthma among adults,Age-adjusted prevalence,11.3
06105,CA,California,Trinity,Current asthma among adults,Age-adjusted prevalence,11.3
13077,GA,Georgia,Coweta,Current asthma among adults,Age-adjusted prevalence,9.9
06115,CA,California,Yuba,Current asthma among adults,Age-adjusted prevalence,10.4
12055,FL,Florida,Highlands,Current asthma among adults,Age-adjusted prevalence,9.9
12061,FL,Florida,Indian River,Current asthma among adults,Age-adjusted prevalence,9.4
13163,GA,Georgia,Jefferson,Current asthma among adults,Age-adjusted prevalence,11.5
12003,FL,Florida,Baker,Current asthma among adults,Age-adjusted prevalence,10.3
12127,FL,Florida,Volusia,Current asthma among adults,Age-adjusted prevalence,10.1
13161,GA,Georgia,Jeff Davis,Current asthma among adults,Age-adjusted prevalence,10.8
09120,CT,Connecticut,Greater Bridgeport,Current asthma among adults,Age-adjusted prevalence,10.5
12123,FL,Florida,Taylor,Current asthma among adults,Age-adjusted prevalence,10.6
13027,GA,Georgia,Brooks,Current asthma among adults,Age-adjusted prevalence,11.2
13081,GA,Georgia,Crisp,Current asthma among adults,Age-adjusted prevalence,11.7
13111,GA,Georgia,Fannin,Current asthma among adults,Age-adjusted prevalence,10.3
12041,FL,Florida,Gilchrist,Current asthma among adults,Age-adjusted prevalence,10.3
06077,CA,California,San Joaquin,Current asthma among adults,Age-adjusted prevalence,9.5
12129,FL,Florida,Wakulla,Current asthma among adults,Age-adjusted prevalence,10.0
08119,CO,Colorado,Teller,Current asthma among adults,Age-adjusted prevalence,11.0
09110,CT,Connecticut,Capitol,Current asthma among adults,Age-adjusted prevalence,11.6
12053,FL,Florida,Hernando,Current asthma among adults,Age-adjusted prevalence,9.9
13125,GA,Georgia,Glascock,Current asthma among adults,Age-adjusted prevalence,10.6
06073,CA,California,San Diego,Current asthma among adults,Age-adjusted prevalence,8.9
13023,GA,Georgia,Bleckley,Current asthma among adults,Age-adjusted prevalence,10.9
13097,GA,Georgia,Douglas,Current asthma among adults,Age-adjusted prevalence,10.7
13075,GA,Georgia,Cook,Current asthma among adults,Age-adjusted prevalence,11.0
13045,GA,Georgia,Carroll,Current asthma among adults,Age-adjusted prevalence,10.4
13099,GA,Georgia,Early,Current asthma among adults,Age-adjusted prevalence,11.7
06111,CA,California,Ventura,Current asthma among adults,Age-adjusted prevalence,9.5
08009,CO,Colorado,Baca,Current asthma among adults,Age-adjusted prevalence,12.2
13121,GA,Georgia,Fulton,Current asthma among adults,Age-adjusted prevalence,9.4
13085,GA,Georgia,Dawson,Current asthma among adults,Age-adjusted prevalence,9.6
12075,FL,Florida,Levy,Current asthma among adults,Age-adjusted prevalence,10.5
06109,CA,California,Tuolumne,Current asthma among adults,Age-adjusted prevalence,10.5
12007,FL,Florida,Bradford,Current asthma among adults,Age-adjusted prevalence,10.5
12079,FL,Florida,Madison,Current asthma among adults,Age-adjusted prevalence,11.0
12023,FL,Florida,Columbia,Current asthma among adults,Age-adjusted prevalence,10.4
12093,FL,Florida,Okeechobee,Current asthma among adults,Age-adjusted prevalence,9.9
13127,GA,Georgia,Glynn,Current asthma among adults,Age-adjusted prevalence,10.3
06095,CA,California,Solano,Current asthma among adults,Age-adjusted prevalence,10.1
10003,DE,Delaware,New Castle,Current asthma among adults,Age-adjusted prevalence,10.4
06079,CA,California,San Luis Obispo,Current asthma among adults,Age-adjusted prevalence,10.0
13047,GA,Georgia,Catoosa,Current asthma among adults,Age-adjusted prevalence,10.0
08049,CO,Colorado,Grand,Current asthma among adults,Age-adjusted prevalence,10.9
13089,GA,Georgia,DeKalb,Current asthma among adults,Age-adjusted prevalence,10.3
12119,FL,Florida,Sumter,Current asthma among adults,Age-adjusted prevalence,9.3
12115,FL,Florida,Sarasota,Current asthma among adults,Age-adjusted prevalence,9.5
08045,CO,Colorado,Garfield,Current asthma among adults,Age-adjusted prevalence,10.7
08053,CO,Colorado,Hinsdale,Current asthma among adults,Age-adjusted prevalence,10.9
13009,GA,Georgia,Baldwin,Current asthma among adults,Age-adjusted prevalence,10.8
08083,CO,Colorado,Montezuma,Current asthma among adults,Age-adjusted prevalence,12.0
12131,FL,Florida,Walton,Current asthma among adults,Age-adjusted prevalence,9.5
06093,CA,California,Siskiyou,Current asthma among adults,Age-adjusted prevalence,11.2
08107,CO,Colorado,Routt,Current asthma among adults,Age-adjusted prevalence,10.6
13135,GA,Georgia,Gwinnett,Current asthma among adults,Age-adjusted prevalence,9.1
13001,GA,Georgia,Appling,Current asthma among adults,Age-adjusted prevalence,10.8
13029,GA,Georgia,Bryan,Current asthma among adults,Age-adjusted prevalence,9.6
08099,CO,Colorado,Prowers,Current asthma among adults,Age-adjusted prevalence,11.2
08091,CO,Colorado,Ouray,Current asthma among adults,Age-adjusted prevalence,10.8
13103,GA,Georgia,Effingham,Current asthma among adults,Age-adjusted prevalence,10.0
13055,GA,Georgia,Chattooga,Current asthma among adults,Age-adjusted prevalence,10.8
08019,CO,Colorado,Clear Creek,Current asthma among adults,Age-adjusted prevalence,10.7
06089,CA,California,Shasta,Current asthma among adults,Age-adjusted prevalence,10.9
08013,CO,Colorado,Boulder,Current asthma among adults,Age-adjusted prevalence,10.3
13107,GA,Georgia,Emanuel,Current asthma among adults,Age-adjusted prevalence,11.2
08015,CO,Colorado,Chaffee,Current asthma among adults,Age-adjusted prevalence,10.8
13039,GA,Georgia,Camden,Current asthma among adults,Age-adjusted prevalence,10.1
13051,GA,Georgia,Chatham,Current asthma among adults,Age-adjusted prevalence,10.3
12065,FL,Florida,Jefferson,Current asthma among adults,Age-adjusted prevalence,10.4
08039,CO,Colorado,Elbert,Current asthma among adults,Age-adjusted prevalence,11.1
08057,CO,Colorado,Jackson,Current asthma among adults,Age-adjusted prevalence,11.7
08007,CO,Colorado,Archuleta,Current asthma among adults,Age-adjusted prevalence,11.0
08061,CO,Colorado,Kiowa,Current asthma among adults,Age-adjusted prevalence,11.8
08011,CO,Colorado,Bent,Current asthma among adults,Age-adjusted prevalence,10.8
08003,CO,Colorado,Alamosa,Current asthma among adults,Age-adjusted prevalence,11.0
08031,CO,Colorado,Denver,Current asthma among adults,Age-adjusted prevalence,10.2
08035,CO,Colorado,Douglas,Current asthma among adults,Age-adjusted prevalence,10.4
08023,CO,Colorado,Costilla,Current asthma among adults,Age-adjusted prevalence,10.6
08027,CO,Colorado,Custer,Current asthma among adults,Age-adjusted prevalence,11.5
13093,GA,Georgia,Dooly,Current asthma among adults,Age-adjusted prevalence,10.5
12045,FL,Florida,Gulf,Current asthma among adults,Age-adjusted prevalence,9.8
08065,CO,Colorado,Lake,Current asthma among adults,Age-adjusted prevalence,10.2
08073,CO,Colorado,Lincoln,Current asthma among adults,Age-adjusted prevalence,10.9
08069,CO,Colorado,Larimer,Current asthma among adults,Age-adjusted prevalence,11.2
08121,CO,Colorado,Washington,Current asthma among adults,Age-adjusted prevalence,11.3
12049,FL,Florida,Hardee,Current asthma among adults,Age-adjusted prevalence,9.7
08043,CO,Colorado,Fremont,Current asthma among adults,Age-adjusted prevalence,11.0
13117,GA,Georgia,Forsyth,Current asthma among adults,Age-adjusted prevalence,8.4
12035,FL,Florida,Flagler,Current asthma among adults,Age-adjusted prevalence,9.9
08079,CO,Colorado,Mineral,Current asthma among adults,Age-adjusted prevalence,10.8
12027,FL,Florida,DeSoto,Current asthma among adults,Age-adjusted prevalence,10.0
08113,CO,Colorado,San Miguel,Current asthma among adults,Age-adjusted prevalence,10.5
12017,FL,Florida,Citrus,Current asthma among adults,Age-adjusted prevalence,10.1
12009,FL,Florida,Brevard,Current asthma among adults,Age-adjusted prevalence,9.7
12073,FL,Florida,Leon,Current asthma among adults,Age-adjusted prevalence,10.4
06097,CA,California,Sonoma,Current asthma among adults,Age-adjusted prevalence,9.8
13095,GA,Georgia,Dougherty,Current asthma among adults,Age-adjusted prevalence,12.0
08111,CO,Colorado,San Juan,Current asthma among adults,Age-adjusted prevalence,10.6
13019,GA,Georgia,Berrien,Current asthma among adults,Age-adjusted prevalence,10.8
13073,GA,Georgia,Columbia,Current asthma among adults,Age-adjusted prevalence,9.6
08103,CO,Colorado,Rio Blanco,Current asthma among adults,Age-adjusted prevalence,11.3
08095,CO,Colorado,Phillips,Current asthma among adults,Age-adjusted prevalence,11.3
13031,GA,Georgia,Bulloch,Current asthma among adults,Age-adjusted prevalence,10.6
08087,CO,Colorado,Morgan,Current asthma among adults,Age-adjusted prevalence,11.1
13035,GA,Georgia,Butts,Current asthma among adults,Age-adjusted prevalence,10.4
13157,GA,Georgia,Jackson,Current asthma among adults,Age-adjusted prevalence,9.7
12101,FL,Florida,Pasco,Current asthma among adults,Age-adjusted prevalence,9.8
09160,CT,Connecticut,Northwest Hills,Current asthma among adults,Age-adjusted prevalence,11.6
06075,CA,California,San Francisco,Current asthma among adults,Age-adjusted prevalence,8.5
